Height,Width,Length,Engine-size,Bore,Stroke,Price
53.3,63.8,165.6,97,,3.29,7799
54.5,63.8,165.3,97,3.15,3.29,7499
53.5,63.8,170.2,97,3.15,3.29,7999
53.3,63.8,162.4,97,3.15,3.29,8249
54.7,65.2,173.4,120,3.33,3.47,8949
54.7,65.2,173.4,120,3.33,3.47,9549
55.1,66.5,181.7,181,3.43,3.27,13499
56.1,66.5,184.6,181,3.43,3.27,14399
55.1,66.5,184.6,181,3.43,3.27,13499
49.7,67.9,170.7,181,3.43,3.27,17199
49.7,67.9,170.7,181,3.43,3.27,19699
49.7,67.9,178.5,181,3.43,3.27,18399
56.7,68.4,186.7,120,3.46,3.19,11900
56.7,68.4,186.7,152,3.7,3.52,13200
58.7,68.4,198.9,120,3.46,3.19,12440
58.7,68.4,198.9,152,3.7,3.52,13860
56.7,68.4,?,120,3.46,2.19,15580
56.7,68.4,186.7,152,3.7,3.52,16900
56.7,68.4,198.9,120,3.46,2.19,free
58.7,68.4,198.9,big size,3.7,3.52,17075
56.7,68.4,186.7,120,3.46,3.19,16630
56.7,68.4,186.7,152,3.7,3.52,17950
56,68.3,186.7,134,3.61,3.21,18150
50.8,63.8,157.3,98,3.03,3.39,7957
50.6,63.8,157.3,90,2.97,3.23,6229
50.8,63.8,167.3,90,2.97,3.23,6692
50.8,63.8,167.3,98,2.97,3.23,7609
59.8,64.6,174.6,122,3.35,3.46,8921
50.2,66.3,173.2,156,3.59,3.86,12764
50.2,68.3,168.9,151,3.94,3.11,22018
51.6,65,168.9,194,3.74,2.9,32528
51.6,65,168.9,194,3.74,2.9,34028
51.6,65,168.9,194,3.74,2.9,37028
50.5,72.3,175.7,203,3.94,3.11,?
?,66.5,181.5,132,3.46,3.9,9295
50.5,66.6,176.8,132,3.46,3.9,9895
56.1,66.5,186.6,121,3.54,3.07,11850
56.1,66.5,186.6,121,3.54,3.07,12170
56.1,66.5,186.6,121,2.54,2.07,15040
56.1,66.5,186.6,121,3.54,3.07,15510
56.1,66.5,186.6,121,3.54,3.07,18150
56.1,66.5,186.6,121,3.54,3.07,18620
53.7,63.4,156.9,97,3.62,2.36,5118
53.7,63.6,157.9,108,3.62,2.64,7053
55.7,63.8,157.3,108,3.62,2.64,7603
52.5,65.4,172,108,3.62,2.64,7126
52.5,65.4,172,108,3.62,2.64,9960
54.3,65.4,172,108,3.62,2.64,9233
54.3,65.4,172,108,3.62,2.64,11259
53,65.4,173.5,108,3.62,2.64,7463
53,65.4,173.5,108,3.62,2.64,10198
54.9,65.4,173.6,108,3.62,2.64,8013
54.5,63.6,158.7,92,3.05,3.03,5348
54.5,63.6,158.7,92,3.05,3.03,6338
54.5,63.6,158.7,92,3.05,3.03,6488
59.1,63.6,169.7,92,3.05,3.03,6918
59.1,63.6,169.7,92,3.05,3.03,7898
59.1,63.6,169.7,92,3.05,3.03,8778
53,64.4,166.3,98,3.19,3.03,6938
52.8,64.4,166.3,98,3.19,3.03,7198
53,64.4,166.3,110,3.27,3.35,7898
52.8,64.4,166.3,110,3.27,3.35,7788
53,64.4,166.3,98,3.19,3.03,7738
52.8,64.4,166.3,98,3.19,3.03,8358
52.8,64.4,166.3,98,3.19,3.03,9258
52.6,64,168.7,98,3.19,3.03,8058
52.6,64,168.7,98,3.19,3.03,8238
52.6,64,168.7,98,3.24,3.08,9538
52,65.6,176.2,146,3.62,3.5,8449
52,65.6,176.2,146,3.62,3.5,9639
52,65.6,176.2,146,3.62,3.5,9989
52,65.6,176.2,146,3.62,3.5,11199
52,65.6,176.2,146,3.62,3.5,11549
*,65.6,176.2,146,3.62,3.5,17669
54.9,66.5,175.6,122,3.31,,8948
54.9,66.5,175.6,110,3.27,3.35,10698
53.9,66.5,175.6,122,3.31,3.54,9988
54.9,66.5,175.6,122,3.31,3.54,10898
53.9,66.5,175.6,122,3.31,3.54,11248
52,67.7,183.5,171,3.27,3.35,16558
52,67.7,183.5,171,3.27,3.35,15998
54.1,66.5,187.8,171,3.27,3.35,15690
54.1,66.5,187.8,161,3.27,3.35,15750
55.7,65.5,171.7,97,3.01,3.4,7775
55.7,65.5,171.7,109,3.19,3.4,7975
55.7,65.5,171.7,97,3.01,3.4,7995
55.7,65.5,171.7,109,3.19,3.4,8195
55.7,65.5,171.7,109,3.19,3.4,8495
55.7,65.5,171.7,97,3.01,3.4,9495
55.7,65.5,171.7,109,,3.4,9995
55.6,64.2,159.3,109,3.19,3.4,11595
51.4,64,165.7,109,3.19,3.4,9980
55.1,66.9,180.2,136,3.19,3.4,13295
55.1,66.9,180.2,97,3.01,3.4,13845
56.2,67.2,188.8,141,3.78,3.15,12940
56.2,67.2,188.8,141,3.78,3.15,15985
57.5,67.2,188.8,141,3.78,3.15,16515
56.2,67.2,188.8,130,3.62,3.15,18420
57.5,67.2,188.8,130,3.62,3.15,18950
55.5,68.9,188.8,141,3.78,3.15,16845
55.5,68.8,188.8,141,3.78,3.15,19045
55.5,68.9,188.8,145,3.01,3.4,22470
55.7,71.4,192.7,big size,3.19,3.4,17710
56.2,67.2,188.8,141,3.78,3.15,12940
59.1,63.6,169.7,92,3.05,3.03,6918
59.1,63.6,169.7,92,3.05,nlk,7898
59.1,63.6,169.7,92,3.05,3.03,8778
53,64.4,166.3,98,3.19,3.03,6938
56.7,71.7,208.1,308,3.8,3.35,40960
55.4,72,199.2,304,3.8,3.35,45400
54.8,68,178.4,140,3.78,3.12,16503
50.8,64.4,157.3,92,2.97,3.23,5389
50.8,64.4,157.3,92,2.97,3.23,6189
50.8,64.4,157.3,92,2.97,3.23,6669
50.8,63.8,157.3,98,3.03,3.39,7689
49.4,65.4,173,110,3.17,3.46,9959
54.5,63.8,165.3,97,3.15,3.29,6849
53.5,63.8,170.2,97,3.15,3.29,7349
54.5,63.8,165.3,97,3.15,3.29,7299
53.3,63.8,165.6,97,3.15,3.29,7799
54.5,63.8,165.3,97,3.15,3.29,7499
52,63.6,155.9,90,3.03,3.11,6295
52,63.6,158.8,90,3.03,3.11,6575
50.8,5m,157.3,90,2.97,3.23,5572
50.8,63.8,157.3,98,3.03,3.39,7957
50.8,64.4,157.3,92,2.97,3.23,6189
50.8,64.4,157.3,92,2.97,3.23,6669
50.8,63.8,157.3,98,3.03,3.39,7689
49.4,65.4,173,110,3.17,3.46,9959
54.5,63.8,165.3,97,3.15,3.29,6849
53.5,63.8,170.2,97,3.15,3.29,7349
58.7,68.4,198.9,120,3.46,3.19,12440
58.7,68.4,198.9,152,3.7,3.52,13860
56.7,68.4,?,120,3.46,2.19,15580
56.7,68.4,186.7,152,3.7,3.52,16900
48.8,64.1,168.8,130,3.47,2.68,13495
48.8,64.1,168.8,130,3.47,2.68,16500
52.4,65.5,171.2,152,2.68,3.47,16500
54.3,66.2,176.6,109,3.19,3.4,13950
54.3,66.4,176.6,136,3.19,3.4,17450
53.1,66.3,177.3,136,3.19,3.4,15250
54.3,64.8,176.8,108,3.5,2.8,16430
54.3,64.8,176.8,108,3.5,2.8,16925
54.3,64.8,176.8,164,3.31,3.19,20970
54.3,2km,176.8,164,3.31,3.19,21105
55.7,66.9,189,164,3.31,3.19,24565
54.3,65.4,172,108,3.62,2.64,9233
54.3,65.4,172,108,3.62,2.64,11259
53,65.4,173.5,108,3.62,2.64,7463
53,65.4,173.5,108,3.62,2.64,10198
54.9,65.4,173.6,108,3.62,2.64,8013
56.7,68.4,186.7,152,3.7,3.52,16900
56.7,68.4,198.9,120,3.46,hdi,16695
58.7,68.4,198.9,152,3.7,3.52,17075
56.7,68.4,186.7,120,3.46,3.19,16630
56.7,68.4,186.7,152,3.7,3.52,17950
56,68.3,186.7,134,3.61,3.21,18150
50.8,63.8,157.3,98,3.03,3.39,7957
